Ansicht	Zielname	Seite	Modus	Quelle
Mainmenu	hauptmenue/hauptmenue	hauptmenue/index.md	voll	ernte
LocalGameDialog	hauptmenue/spiel-starten	hauptmenue/index.md	dialog	ernte
NewLocalGameMenu	hauptmenue/neues-spiel	hauptmenue/index.md	voll	ernte
NewPlayerMenu	hauptmenue/spieler-erstellen	hauptmenue/index.md	voll	ernte
Weltkarte	handel/weltkarte	handel/index.md	voll	ernte
Stadt	handel/stadt	handel/produktion-von-waren.md	voll	ernte
LagerraumKaufenDialog	handel/lagerraum-kaufen	handel/produktion-von-waren.md	dialog	ernte
StadtInformationenDialog	handel/stadtinformationen	handel/stadtinformationen.md	dialog	ernte
HausWaehlenDialog	handel/wohnsitz-waehlen	handel/wohnsitze.md	dialog	ernte
HausErweiterungenDialog	handel/wohnsitz-erweiterung	handel/wohnsitze.md	dialog	ernte
HausVerwaltungDialog	handel/wohnsitz-verwaltung	handel/staedte-produktion-und-wohnsitze.md	dialog	ernte
Schreibstube	schreibstube/schreibstube	schreibstube/index.md	voll	ernte
KreditDialog	schreibstube/geldleiher	schreibstube/geldleiher-und-kreditbuch.md	dialog	ernte
KreditbuchDialog	schreibstube/kreditbuch	schreibstube/geldleiher-und-kreditbuch.md	dialog	ernte
GesetzeDialog	schreibstube/gesetze	schreibstube/gesetze.md	dialog	ernte
BewerbDialog	schreibstube/amt-bewerben	schreibstube/auf-ein-amt-bewerben.md	dialog	ernte
BewerbInfosDialog	schreibstube/amt-info	schreibstube/auf-ein-amt-bewerben.md	dialog	ernte
KontrahentenDialog	schreibstube/kontrahenten	schreibstube/kontrahenten.md	dialog	ernte
KontrahentDetailsDialog	schreibstube/kontrahent-details	schreibstube/kontrahenten.md	dialog	ernte
PrivilegienDialog	schreibstube/privilegien	schreibstube/privilegien.md	dialog	ernte
DuellDialog	schreibstube/duell	schreibstube/privilegien.md	voll	ernte
GerichtDialog	schreibstube/gerichtsverhandlung	schreibstube/gerichtsverhandlung.md	voll	ernte
TitelVerleihDialog	schreibstube/titelverleihung	schreibstube/titel.md	dialog	ernte
StadtaemterPolit	schreibstube/StadtaemterPolit	schreibstube/aemter.md	voll	wiki
LandaemterPolit	schreibstube/LandaemterPolit	schreibstube/aemter.md	voll	wiki
ReichaemterPolit	schreibstube/ReichaemterPolit	schreibstube/aemter.md	voll	wiki
StadtaemterKirch	schreibstube/StadtaemterKirch	schreibstube/aemter.md	voll	wiki
LandaemterKirch	schreibstube/LandaemterKirch	schreibstube/aemter.md	voll	wiki
ReichaemterKirch	schreibstube/ReichaemterKirch	schreibstube/aemter.md	voll	wiki
StadtaemterMil	schreibstube/StadtaemterMil	schreibstube/aemter.md	voll	wiki
LandaemterMil	schreibstube/LandaemterMil	schreibstube/aemter.md	voll	wiki
ReichaemterMil	schreibstube/ReichaemterMil	schreibstube/aemter.md	voll	wiki
Kirche	kirche/kirche	kirche/index.md	voll	ernte
BrautwerbungDialog	kirche/brautwerbung	kirche/index.md	dialog	ernte
KonfessionslosDialog	kirche/konfession-waehlen	kirche/index.md	dialog	ernte
Hinterzimmer	hinterzimmer/hinterzimmer	hinterzimmer/index.md	voll	ernte
SoeldnerRaeuberKarte	soeldner-raeuber/karte	soeldner-raeuber/index.md	voll	ernte
StuetzpunktKaufenDialog	soeldner-raeuber/kaufangebot	soeldner-raeuber/index.md	dialog	ernte
OptionenDialog	client/optionen	client/optionen-und-ton.md	dialog	ernte
SaveGameDialog	client/speichern	client/speichern-und-laden.md	dialog	ernte
LoadGameDialog	client/laden	client/speichern-und-laden.md	dialog	ernte
DiagnoseDialog	client/fehler-melden	client/fehler-melden.md	dialog	ernte
CreditsDialog	hauptmenue/credits	hauptmenue/index.md	voll	ernte
ProfilDialog	hauptmenue/profile	hauptmenue/profile-und-statistik.md	dialog	ernte
BestenlisteDialog	hauptmenue/bestenliste	hauptmenue/auftraege-und-bestenliste.md	dialog	ernte
StatistikDialog	hauptmenue/statistik	hauptmenue/profile-und-statistik.md	dialog	ernte
TestamentDialog	kirche/testament	kirche/testament-und-erbfolge.md	dialog	ernte
SpielerTodDialog	kirche/grabstein	kirche/grabinschrift.md	voll	ernte
StuetzpunktVerwalten	soeldner-raeuber/verwaltung	soeldner-raeuber/index.md	voll	ernte
